domain,decision,tier,reason,follow,anchor_text,example_backlink,authority,traffic,is_spam,ip,review_note
doubleentrydoorspokusubo.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,... Access This Document,http://doubleentrydoorspokusubo.blogspot.com/2017/01/replacement-double-entry-doors.html,2,0,,192.178.218.132,confirmed
doublehungwindownome.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Pictures of Double Hung Windows Prices,https://doublehungwindownome.blogspot.com/2015/08/double-hung-windows-prices.html,2,0,,172.253.115.132,confirmed
doublehungwindowwosukana.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Pictures of Double Hung Windows Prices,http://doublehungwindowwosukana.blogspot.com/2015/08/double-hung-windows-prices.html,2,0,,192.178.218.132,confirmed
draperiesboca.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Window Replacement in Atlanta – Sample Psychrometric Chart,http://draperiesboca.com/sample-psychrometric-chart/,0.0,0,,,confirmed
drjack.world,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://drjack.world/report/113574,6,0,,195.20.19.178,confirmed
dupurgeniefr.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://dupurgeniefr.com/all/2065/33.html,2,0,,104.21.43.118,confirmed
eastus2-01.azurewebsites.net,DISAVOW,P1 Core,Throwaway free-host page,dofollow,,https://tasteofalpharetta-b8auczbbhgdzdqan.eastus2-01.azurewebsites.net/2025-sponsors/,40,0,,20.119.128.24,confirmed
ecommercebenchmarking.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,thermalprowindows.com,https://ecommercebenchmarking.com/page-f97a090296c80268207756519a650c20.html,2,0,,118.139.178.200,confirmed
efbgtvmn.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"IKK0g↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://efbgtvmn.xyz/bnudltgbvnawc,0.0,0,TRUE,104.21.80.1,confirmed
egyptiandirectory.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://egyptiandirectory.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.116.137,confirmed
eliteseobacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://eliteseobacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
factmags.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,https://northpointwindows.com/,http://factmags.com/etwfxseo/prodevantek-best-seo-service/,4,0,,203.161.54.114,confirmed
fashionclothingnews.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service performingwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://fashionclothingnews.com/all/2235/33.html,2,0,,172.67.156.33,confirmed
fastlifesite.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service performingwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://fastlifesite.com/all/2235/33.html,2,0,,172.67.176.248,confirmed
fdidesktopf.gq,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers printable psychrometric chart free,http://fdidesktopf.gq/files/images/printable-psychrometric-chart-free.html,0.0,0,,,confirmed
feslcom.press,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Galerry printable psychrometric chart uk,http://feslcom.press/upload/printable-psychrometric-chart-uk.html,0.0,0,,,confirmed
fiberglassdoorpantai.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,"Greener, Smarter And Better Doors Through Innovation",https://fiberglassdoorpantai.blogspot.com/2016/01/luxury-fiberglass-door.html,2,0,,172.253.139.132,confirmed
fiberglassdoorseshizakino.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,"Greener, Smarter And Better Doors Through Innovation",https://fiberglassdoorseshizakino.blogspot.com/2015/05/discount-fiberglass-doors.html,2,0,,192.179.18.132,confirmed
fifkxhby.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"XvXYX↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://fifkxhby.xyz/ytzfasdpgektj,0.0,0,TRUE,104.21.84.81,confirmed
findinfo.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.findinfo.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
firstguestpost.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service performingwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://firstguestpost.com/all/2235/33.html,5,0,,104.21.72.232,confirmed
flamingos.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,performingwindows.com,https://flamingos.pages.dev/09/bjlYlevWIh,2,0,,172.66.47.118,confirmed
friendlybacklinksbuy.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://friendlybacklinksbuy.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
froecom.press,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Galerry printable psychrometric chart,http://www.froecom.press/upload/printable-psychrometric-chart.html,0.0,0,,,confirmed
gamerkun.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,qualitypluswindows.com,http://www.gamerkun.com/page-1d46ee62e36190f42f3d3c0481fab48e.html,2,0,,118.139.181.85,confirmed
getonline.co.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.getonline.co.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
getwebsiteworth.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,northpointwindows.com,https://getwebsiteworth.com/0735674f420eb4305092bacc860401a2-l/,3,0,,118.139.178.110,confirmed
ggmap.co.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://ggmap.co.com/all/2066/26.html,2,0,,104.21.10.112,confirmed
ggmap.us.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northpointwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://ggmap.us.com/all/2093/8.html,2,0,,104.21.93.158,confirmed
gladeflowers.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://gladeflowers.com/all/2066/26.html,2,0,,172.67.168.3,confirmed
glassreplacementkaev.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Images of Replacement Leaded Glass Windows,http://glassreplacementkaev.blogspot.com/2015/07/replacement-leaded-glass-windows.html,2,0,,172.253.139.132,confirmed
glassreplacementlnenbire.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Thermopane Glass Replacement Photos,https://glassreplacementlnenbire.blogspot.com/2015/03/thermopane-glass-replacement.html,2,0,,192.178.218.132,confirmed
glassreplacementnemurashi.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Images of Replacement Leaded Glass Windows,https://glassreplacementnemurashi.blogspot.com/2015/07/replacement-leaded-glass-windows.html,2,0,,64.233.180.132,confirmed
glassreplacementsiholo.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Thermopane Glass Replacement Photos,http://glassreplacementsiholo.blogspot.com/2015/03/thermopane-glass-replacement.html,2,0,,172.253.63.132,confirmed
glazeddoorsrikanmu.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,... Retrieve Full Source,http://glazeddoorsrikanmu.blogspot.com/2017/03/mahogany-internal-glazed-doors.html,2,0,,142.250.31.132,confirmed
global-rank.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,northgeorgiawindows.net,https://global-rank.pages.dev/16/edQSdlFdxP,4,0,,172.66.44.155,confirmed
global-ranks.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,ngwindows.com,https://global-ranks.pages.dev/56/PBjAytGwrZ,4,0,,172.66.47.146,confirmed
globalecommerce.org,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://globalecommerce.org/page-18c6f7b2b74807a8ca4d96aec043dde8.html,3,0,,118.139.177.45,confirmed
googleseoauthority.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.91.152,confirmed
googleseocraft.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Strengthen ngwindows.com through guest posts and backlinks, on-page SEO, local SEO, web development, SaaS integrations and automation tools for DR/DA/TF that climbs steadily with r",https://googleseocraft.shop/938c69326-stacked-on-page-seo-link-insertions-legal-dual-strategy-doubled-ranking-speed-complete-implementation-guide-planning-testing-and-tracking-for-consistent-traffic-growth/,0.0,0,TRUE,172.67.223.91,confirmed
googleseoexperts.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Power up ngwindows.com: high-DR backlinks, editorial guest posts, on-page SEO, local SEO, web development, SaaS tools and automation tools for real DR/DA/TF improvement at a sustai",https://googleseoexperts.shop/5b12ac7b9-build-unstoppable-medical-serp-press-release-links-authority-link-packages-traffic-playbook-practical-execution-roadmap-research-execution-and-analysis-for-stronger-domain-authority/,0.0,0,TRUE,104.21.78.137,confirmed
googleseopoint.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.50.155,confirmed
goooogla.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,http://goooogla.com/best-for-ranking-atyykjseo/hxbcwlseo/,4,0,,203.161.54.114,confirmed
gracez.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,thermalprowindows.com,https://gracez.pages.dev/00/xbfWQTTVoF,2,0,,172.66.46.243,confirmed
gsitestatus.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,http://www.ngwindows.com,https://gsitestatus.com/www/ngwindows.com,4,0,,172.67.136.161,confirmed
hebagh.cv,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.hebagh.cv/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
homefinance.co.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,northgeorgiawindows.net,http://homefinance.co.in/page-fc8181c42a7be57a0aa536bdfa3b8a8d.html,2,0,,118.139.181.85,confirmed
hotonlinegaming.com,DISAVOW,P1 Core,Gambling / casino spam,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://hotonlinegaming.com/all/2066/26.html,3,0,,172.67.129.112,confirmed
huldra.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,qualitypluswindows.com,https://huldra.pages.dev/02/sUdkiUWSvH,2,0,,172.66.44.118,confirmed
hwousfvg.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,172.67.179.169,confirmed
ib6.info,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers printable psychrometric chart metric,http://modern-wallpaper-ideas.ib6.info/files/images/printable-psychrometric-chart-metric.html,0.0,0,,,confirmed
increasewebtrafficwithlinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://increasewebtrafficwithlinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
indexaward.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,northpointwindows.com,https://indexaward.com/0735674f420eb4305092bacc860401a2-l/,2,0,,118.139.176.46,confirmed
indians.cc,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://indians.cc/page-18c6f7b2b74807a8ca4d96aec043dde8.html,3,0,,118.139.181.255,confirmed
ineed2pee.com,DISAVOW,P1 Core,Adult spam,nofollow,http://ngwindows.com/blog/top-3-trends-in-todays-sunroom-additions/,http://www.ineed2pee.com/blog/?p=36,10,0,,216.201.82.231,confirmed
innocyscx.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,qualitypluswindows.com,https://innocyscx.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,2,0,,172.253.63.132,confirmed
insurancesolutionforyouesv.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,performingwindows.com,https://insurancesolutionforyouesv.blogspot.com/,2,0,,172.253.122.132,confirmed
intconference.org,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,https://seh.intconference.org/category/bez-rubriki/page/19/,5,0,,184.168.107.83,confirmed
interiorfrenchdoorsederuma.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Pictures of Interior French Doors Replacement Grids,http://interiorfrenchdoorsederuma.blogspot.com/2016/11/interior-french-doors-replacement-grids.html,2,0,,142.251.163.132,confirmed
itsyourgold.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngwindows.com,https://www.itsyourgold.com/page/168196/,0.0,0,TRUE,184.168.115.60,confirmed
izzbpkzo.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"38LVL↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://izzbpkzo.xyz/emcpxusnimahj,0.0,0,TRUE,172.67.162.88,confirmed
jake.eu,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermatrustwindows.com,https://sites.jake.eu/share/37669,6,0,,195.20.19.178,confirmed
jattihep.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"I4hik↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jattihep.xyz/bhkxgagdokhvh,0.0,0,TRUE,172.67.163.79,confirmed
jdbfiqxv.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"t5Xfa↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jdbfiqxv.xyz/ysectlohgdssw,0.0,0,TRUE,172.67.161.117,confirmed
jeuxodefriv.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Window Replacement in Atlanta – Sample Psychrometric Chart,http://jeuxodefriv.com/sample-psychrometric-chart/,0.0,0,,,confirmed
jtdzcpmo.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"r68Ks↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jtdzcpmo.xyz/cswlsoqjyxuyr,0.0,0,TRUE,172.67.217.128,confirmed
jxwikfum.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"GkZDw↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://uuj.jxwikfum.xyz/KJG990b198976/,0.0,0,TRUE,104.21.47.108,confirmed
kbgkeiip.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"ZnqjJ↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://kbgkeiip.xyz/zxlO57c199131/,0.0,0,TRUE,172.67.161.115,confirmed
knotknastylimddsd.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://knotknastylimddsd.blogspot.com/,2,0,,142.251.16.132,confirmed
kpbcgzzk.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.96.1,confirmed
lawyerinjeddah.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,http://lawyerinjeddah.com/all/947/16.html,2,0,,172.67.201.48,confirmed
lgrpgnok.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.93.228,confirmed
libyanatravel.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,http://libyanatravel.com/all/946/22.html,2,0,,104.21.70.241,confirmed
linkgrowthauthority.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Everything ngwindows.com needs: guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools — durable DR/DA/TF gains with editorial sta",https://linkgrowthauthority.shop/2b1c25534-zero-rankings-to-page1-medical-120-day-strategy-only-web-development-advanced-growth-framework-tools-tactics-and-insights-for-competitive-serp-results/,0.0,0,TRUE,172.67.146.146,confirmed
linkseoprovider.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Grow ngwindows.com with guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools — stronger DR, DA and TF for any industry. We stren",https://linkseoprovider.shop/7591bba9b-crowd-links-vs-link-insertions-healthcare-cost-speed-quality-ranking-outcomes-measurable-results-blueprint-tools-tactics-and-insights-for-scalable-seo-performance/,0.0,0,TRUE,104.21.75.213,confirmed
linksnatcher.art,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.linksnatcher.art/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
linksnatcher.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,https://linksnatcher.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.255,confirmed
locabee.ch,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Offre actuelle Window installation service in Alpharetta, Georgia https://www.ngwindows.com/",https://fr.locabee.ch/alpharetta/artisans/ng%20windows-2031838,2,0,,188.40.17.96,confirmed
locabee.gr,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,https://www.ngwindows.com/,https://locabee.gr/alpharetta/craftsman/ng%20windows-2031838,2,0,,188.40.17.96,confirmed
localshutters.net,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,https://ngwindows.com/?utm_source=GMBlisting&utm_medium=organic,https://localshutters.net/Georgia/North-Georgia-Replacement-Windows-97485713056/,2,0,TRUE,172.67.135.113,confirmed
loseingweight.xyz,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,"oav4k↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://loseingweight.xyz/xscrizgkvystx,2,0,,172.67.134.246,confirmed
lvmrfker.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"X4yU4↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://zxnnl.lvmrfker.xyz/1aipfbjxsoqo8,0.0,0,TRUE,104.21.45.205,confirmed
lydiaroyrealestate.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Visit Site SEO northgeorgiawindows.net Premium backlinks,http://lydiaroyrealestate.com/all/973/16.html,2,0,,104.21.35.146,confirmed
m98ufa.com,DISAVOW,P1 Core,Gambling / casino spam,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service performingwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://m98ufa.com/all/1116/20.html,5,0,,172.67.170.144,confirmed
mahoganykeishina.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,... Fetch Content,https://mahoganykeishina.blogspot.com/2017/03/mahogany-interior-doors.html,2,0,,142.251.163.132,confirmed
marathiladies.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,qualitypluswindows.com,https://www.marathiladies.com/page-1d46ee62e36190f42f3d3c0481fab48e.html,2,0,,92.249.46.138,confirmed
marinasone.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service qualitypluswindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Onlin,https://marinasone.com/all/2373/20.html,2,0,,172.67.185.196,confirmed
marketingexperts.click,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,ngwindows.com,https://marketingexperts.click/?p=327752,3,0,,67.223.118.29,confirmed
masihnyata.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://masihnyata.com/all/2065/33.html,2,0,,172.67.149.19,confirmed
mbsk.info,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,printable psychrometric chart uk images,http://mbsk.info/img/printable-psychrometric-chart-uk.html,0.0,0,,,confirmed
mediaboooster.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://mediaboooster.com/all/2066/26.html,5,0,,172.67.157.188,confirmed
metamagic.top,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://metamagic.top/stats/113573,14,0,,195.20.19.178,confirmed
missburrg.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,http://missburrg.com/all/946/22.html,2,0,,172.67.142.89,confirmed
mobilewalla3dwallpapers.cf,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers psychrometric chart high quality,http://mobilewalla3dwallpapers.cf/files/images/psychrometric-chart-high-quality.html,0.0,0,,,confirmed
morisova.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,... Access Doc,http://bifoldingdoorsraganamo.blogspot.com/2015/02/frameless-bi-folding-doors.html,2,0,,64.233.180.132,confirmed
movil-13-11-2021.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://movil-13-11-2021.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,2,0,,142.250.31.132,confirmed
mp3fresh.net,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.mp3fresh.net/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
musweb.org,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngawindows.com,https://mail.musweb.org/page-aeacf1cd1c96548a462d30f4186aaaff.html,2,0,,184.168.111.168,confirmed
mymarketpost.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northpointwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://mymarketpost.com/all/2093/8.html,2,0,,172.67.159.15,confirmed
naiad.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,northgeorgiawindows.net,https://naiad.pages.dev/15/edQSdlFdxP,3,0,,172.66.44.199,confirmed
newblogerseo.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://newblogerseo.com/all/2065/33.html,2,0,,172.67.161.249,confirmed
newwebsiteslist.com,DISAVOW,P1 Core,Spam directory listing,dofollow,ngawindows.com,https://www.newwebsiteslist.com/page/168127/,2,0,,184.168.115.60,confirmed
nivira.shop,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northpointwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://nivira.shop/all/1001/30.html,2,0,,104.21.73.168,confirmed
novaland-oceanresidence.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://novaland-oceanresidence.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,2,0,,172.253.139.132,confirmed
obekcom.press,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Galerry printable psychrometric chart metric,http://obekcom.press/upload/printable-psychrometric-chart-metric.html,0.0,0,,,confirmed
odicdsfe.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://odicdsfe.blogspot.com/&output=application%2Fatom+xml,2,0,,172.253.139.132,confirmed
okhwefjs.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"MHvxN↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://okhwefjs.xyz/k8zn32e699443/,0.0,0,TRUE,104.21.16.1,confirmed
olspsystem.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://olspsystem.blogspot.com/%C2%A0,2,0,,172.253.139.132,confirmed
omrbsvkq.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,188.114.97.0,confirmed
onlineshoppingidea.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,http://onlineshoppingidea.com/all/946/22.html,2,0,,104.21.20.72,confirmed
onvaxs.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://onvaxs.com/all/2065/33.html,2,0,,104.21.24.3,confirmed
