domain,decision,priority,confidence,category,why,anchor_type,example_anchor,backlink_url,follow,bl_count,dofollow_n,nofollow_n,link_checked,dr,ascore,authority,traffic,positions,is_spam,links,ip,country,tier_reason,evidence,qa_note
doorswindowscompany.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,ngwindows.com,https://www.doorswindowscompany.com/5516/north-georgia-replacement-windows,nofollow,3,0,3,yes,0.0,2,2,0,0,,3,191.101.14.187,us,,"2+ independent toxic signals | link-network IP 191.101.14.187 (+3 siblings) | dead (auth=2,0 traffic,0 kw)",
ecommercebenchmarking.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,thermalprowindows.com,https://ecommercebenchmarking.com/page-f97a090296c80268207756519a650c20.html,dofollow,9,9,0,yes,0.0,2,2,0,0,,9,118.139.178.200,sg,,"2+ independent toxic signals | link-network IP 118.139.178.200 (+3 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
efbgtvmn.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"IKK0g↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://efbgtvmn.xyz/bnudltgbvnawc,dofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.80.1,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
egyptiandirectory.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,https://egyptiandirectory.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,45,45,0,yes,0.0,2,2,0,0,,45,184.168.116.137,sg,,"2+ independent toxic signals | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
factmags.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,https://northpointwindows.com/,http://factmags.com/etwfxseo/prodevantek-best-seo-service/,nofollow,76,0,76,yes,0.0,4,4,0,0,,76,203.161.54.114,us,,2+ independent toxic signals | link-network IP 203.161.54.114 (+26 siblings) | known link-farm IP block | no organic traffic/kw (auth=4),
fifkxhby.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"XvXYX↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://fifkxhby.xyz/ytzfasdpgektj,dofollow,,,,yes,0.0,0,0,0,0,TRUE,4,104.21.84.81,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
findinfo.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.findinfo.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,27,27,0,yes,0.0,2,2,0,0,,27,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
gamerkun.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,qualitypluswindows.com,http://www.gamerkun.com/page-1d46ee62e36190f42f3d3c0481fab48e.html,dofollow,18,18,0,yes,0.0,2,2,0,0,,18,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
getonline.co.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.getonline.co.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,26,26,0,yes,0.0,2,2,0,0,,26,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
globalecommerce.org,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,https://globalecommerce.org/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,58,58,0,yes,0.0,3,3,0,0,,58,118.139.177.45,sg,,"2+ independent toxic signals | known link-farm IP block | dead (auth=3,0 traffic,0 kw)",
googleseoauthority.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,2,104.21.91.152,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
googleseocraft.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Strengthen ngwindows.com through guest posts and backlinks, on-page SEO, local SEO, web development, SaaS integrations and automation tools for DR/DA/TF that climbs steadily with r",https://googleseocraft.shop/938c69326-stacked-on-page-seo-link-insertions-legal-dual-strategy-doubled-ranking-speed-complete-implementation-guide-planning-testing-and-tracking-for-consistent-traffic-growth/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.223.91,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
googleseoexperts.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Power up ngwindows.com: high-DR backlinks, editorial guest posts, on-page SEO, local SEO, web development, SaaS tools and automation tools for real DR/DA/TF improvement at a sustai",https://googleseoexperts.shop/5b12ac7b9-build-unstoppable-medical-serp-press-release-links-authority-link-packages-traffic-playbook-practical-execution-roadmap-research-execution-and-analysis-for-stronger-domain-authority/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.78.137,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
googleseopoint.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,2,104.21.50.155,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
hebagh.cv,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.hebagh.cv/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,17,17,0,yes,0.0,2,2,0,0,,17,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
homefinance.co.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,northgeorgiawindows.net,http://homefinance.co.in/page-fc8181c42a7be57a0aa536bdfa3b8a8d.html,dofollow,34,34,0,yes,0.0,2,2,0,0,,34,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
hwousfvg.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,3,172.67.179.169,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
indexaward.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,northpointwindows.com,https://indexaward.com/0735674f420eb4305092bacc860401a2-l/,dofollow,42,42,0,yes,0.0,2,2,0,0,,42,118.139.176.46,sg,,"2+ independent toxic signals | link-network IP 118.139.176.46 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
indians.cc,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,https://indians.cc/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,55,55,0,yes,0.0,3,3,0,0,,55,118.139.181.255,sg,,"2+ independent toxic signals | known link-farm IP block | dead (auth=3,0 traffic,0 kw)",
intconference.org,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,https://seh.intconference.org/category/bez-rubriki/page/19/,nofollow,2,0,2,yes,0.0,5,5,0,0,,2,184.168.107.83,sg,,2+ independent toxic signals | known link-farm IP block | no organic traffic/kw (auth=5),
itsyourgold.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,ngwindows.com,https://www.itsyourgold.com/page/168196/,dofollow,,,,yes,0.0,0,0,0,0,TRUE,2,184.168.115.60,,,"2+ independent toxic signals | Ahrefs is_spam=true | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=0,0 traffic,0 kw)",
izzbpkzo.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"38LVL↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://izzbpkzo.xyz/emcpxusnimahj,dofollow,,,,yes,0.0,0,0,0,0,TRUE,4,172.67.162.88,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
jattihep.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"I4hik↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jattihep.xyz/bhkxgagdokhvh,dofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.163.79,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
jdbfiqxv.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"t5Xfa↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jdbfiqxv.xyz/ysectlohgdssw,dofollow,,,,yes,0.0,0,0,0,0,TRUE,3,172.67.161.117,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
jtdzcpmo.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"r68Ks↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://jtdzcpmo.xyz/cswlsoqjyxuyr,dofollow,,,,yes,0.0,0,0,0,0,TRUE,1,172.67.217.128,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
jxwikfum.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"GkZDw↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://uuj.jxwikfum.xyz/KJG990b198976/,dofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.47.108,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
kbgkeiip.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"ZnqjJ↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://kbgkeiip.xyz/zxlO57c199131/,dofollow,,,,yes,0.0,0,0,0,0,TRUE,5,172.67.161.115,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
kpbcgzzk.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,3,104.21.96.1,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
lgrpgnok.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,6,104.21.93.228,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
linkgrowthauthority.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Everything ngwindows.com needs: guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools — durable DR/DA/TF gains with editorial sta",https://linkgrowthauthority.shop/2b1c25534-zero-rankings-to-page1-medical-120-day-strategy-only-web-development-advanced-growth-framework-tools-tactics-and-insights-for-competitive-serp-results/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.146.146,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
linkseoprovider.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Grow ngwindows.com with guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools — stronger DR, DA and TF for any industry. We stren",https://linkseoprovider.shop/7591bba9b-crowd-links-vs-link-insertions-healthcare-cost-speed-quality-ranking-outcomes-measurable-results-blueprint-tools-tactics-and-insights-for-scalable-seo-performance/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.75.213,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
locabee.ch,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,"Offre actuelle Window installation service in Alpharetta, Georgia https://www.ngwindows.com/",https://fr.locabee.ch/alpharetta/artisans/ng%20windows-2031838,nofollow,3,0,3,yes,0.0,2,2,0,0,,3,188.40.17.96,de,,"2+ independent toxic signals | link-network IP 188.40.17.96 (+4 siblings) | dead (auth=2,0 traffic,0 kw)",
locabee.gr,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,https://www.ngwindows.com/,https://locabee.gr/alpharetta/craftsman/ng%20windows-2031838,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,188.40.17.96,de,,"2+ independent toxic signals | link-network IP 188.40.17.96 (+4 siblings) | dead (auth=2,0 traffic,0 kw)",
localshutters.net,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,https://ngwindows.com/?utm_source=GMBlisting&utm_medium=organic,https://localshutters.net/Georgia/North-Georgia-Replacement-Windows-97485713056/,nofollow,2,0,2,yes,0.0,2,2,0,0,TRUE,4,172.67.135.113,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=2,0 traffic,0 kw)",CONFIRMED by both Ahrefs+Semrush
lvmrfker.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"X4yU4↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://zxnnl.lvmrfker.xyz/1aipfbjxsoqo8,dofollow,,,,yes,0.0,0,0,0,0,TRUE,3,104.21.45.205,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
marathiladies.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,qualitypluswindows.com,https://www.marathiladies.com/page-1d46ee62e36190f42f3d3c0481fab48e.html,dofollow,7,7,0,yes,0.0,2,2,0,0,,7,92.249.46.138,in,,"2+ independent toxic signals | link-network IP 92.249.46.138 (+3 siblings) | dead (auth=2,0 traffic,0 kw)",
marketingexperts.click,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,ngwindows.com,https://marketingexperts.click/?p=327752,nofollow,5,0,5,yes,0.0,3,3,0,0,,5,67.223.118.29,us,,"2+ independent toxic signals | link-network IP 67.223.118.29 (+5 siblings) | dead (auth=3,0 traffic,0 kw)",
mp3fresh.net,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.mp3fresh.net/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,29,29,0,yes,0.0,2,2,0,0,,29,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
musweb.org,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,ngawindows.com,https://mail.musweb.org/page-aeacf1cd1c96548a462d30f4186aaaff.html,dofollow,19,19,0,yes,0.0,2,2,0,0,,19,184.168.111.168,sg,,"2+ independent toxic signals | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
okhwefjs.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),SPAM/money,"MHvxN↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://okhwefjs.xyz/k8zn32e699443/,dofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.16.1,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
omrbsvkq.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,10,188.114.97.0,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
organicrankexpress.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Strengthen ngwindows.com through high-quality backlinks, guest posts, on-page and local SEO, custom web development, SaaS tools and automation tools for compounding DR/DA/TF for an",https://organicrankexpress.shop/9bb1bfa67-on-page-seo-vs-pbn-backlinks-healthcare-which-moves-rankings-faster-holds-longer-complete-implementation-guide-budget-links-and-content-for-stronger-domain-authority/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.63.203,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
organicranknetwork.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Scale ngwindows.com with contextual backlinks, premium guest posts, on-page SEO, local SEO, custom web development, SaaS tools plus automation tools, earning real DR/DA/TF improvem",https://organicranknetwork.shop/255646537-press-release-links-cleaned-toxic-links-grew-40-percent-dental-money-site-every-dollar-ranking-tracked-step-by-step-strategy-research-execution-and-analysis-for-higher-search-visibility/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.181.238,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
pagesearch.net,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,northpointwindows.com,https://pagesearch.net/0735674f420eb4305092bacc860401a2-l/,dofollow,41,41,0,yes,0.0,2,2,0,0,,41,118.139.176.46,sg,,"2+ independent toxic signals | link-network IP 118.139.176.46 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
pageseocollective.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,2,104.21.47.215,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
pageseomasters.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Power up ngwindows.com: guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools for a noticeable DR/DA/TF rise with full transparen",https://pageseomasters.shop/85991817c-90-day-high-da-guest-posts-case-study-healthcare-placements-anchors-rankings-detailed-campaign-breakdown-mistakes-risks-and-solutions-for-better-google-positions/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.21.10,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
pageseoservice.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Complete SEO for ngwindows.com: high-DR backlinks, editorial guest posts, on-page SEO, local SEO, web development, SaaS tools and automation tools, delivering real DR/DA/TF improve",https://pageseoservice.shop/f6f5513e4-stacked-press-release-links-web-development-real-estate-dual-strategy-doubled-ranking-speed-long-term-seo-method-quality-checks-and-reporting-for-better-google-positions/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.160.172,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
pictoshow.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,Convert a Screened Porch to a Sunroom | North Georgia,https://pictoshow.com/search.php?q=Screened,nofollow,,,,yes,0.0,0,0,0,0,TRUE,1,172.67.158.233,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
prashikshan.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.prashikshan.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,27,27,0,yes,0.0,2,2,0,0,,27,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
preparation.co.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,http://www.preparation.co.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,27,27,0,yes,0.0,2,2,0,0,,27,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
procycling.org,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,qualitypluswindows.com,http://www.procycling.org/page-1d46ee62e36190f42f3d3c0481fab48e.html,dofollow,29,29,0,yes,0.0,2,2,0,0,,29,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
pudhe.com,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,https://pudhe.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,39,39,0,yes,0.0,2,2,0,0,,39,184.168.115.60,sg,,"2+ independent toxic signals | link-network IP 184.168.115.60 (+8 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
qlliqzun.xyz,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,,,,,,,no (beyond sample),0.0,0,0,0,0,TRUE,1,104.21.94.57,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
queries.co.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,qualitypluswindows.com,http://queries.co.in/page-1d46ee62e36190f42f3d3c0481fab48e.html,dofollow,16,16,0,yes,0.0,2,2,0,0,,16,118.139.181.85,sg,,"2+ independent toxic signals | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
rankgrowthboost.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Scale ngwindows.com with guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools, earning durable DR/DA/TF gains with proven result",https://rankgrowthboost.shop/8c1ed86d0-30-day-serp-climb-real-estate-combined-niche-edits-sidebar-links-position1-real-world-action-plan-planning-testing-and-tracking-for-stronger-domain-authority/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.53.149,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
rankgrowthinsights.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Everything ngwindows.com needs: high-DR backlinks, editorial guest posts, on-page SEO, local SEO, web development, SaaS tools and automation tools — durable DR/DA/TF gains with ful",https://rankgrowthinsights.shop/a0888ce87-18-month-homepage-links-case-study-financial-advisory-placements-anchors-rankings-advanced-growth-framework-budget-links-and-content-for-higher-search-visibility/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.168.57,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
rankgrowthservice.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Strengthen ngwindows.com through high-quality backlinks, guest posts, on-page and local SEO, custom web development, SaaS tools and automation tools for DR/DA/TF gains that hold ac",https://rankgrowthservice.shop/795100500-ranking-recovery-blueprint-medical-rank-using-local-seo-niche-edits-real-world-action-plan-quality-checks-and-reporting-for-higher-search-visibility/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,104.21.64.81,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
rankseoprovider.shop,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),branded/URL,"Complete SEO for ngwindows.com: premium guest posts, contextual backlinks, on-page and local SEO, conversion-focused web development, SaaS tools and automation tools, delivering du",https://rankseoprovider.shop/e2f921b07-homepage-links-vs-pbn-backlinks-health-which-moves-rankings-faster-holds-longer-proven-optimization-process-quality-checks-and-reporting-for-stronger-domain-authority/,nofollow,,,,yes,0.0,0,0,0,0,TRUE,2,172.67.192.44,,,"2+ independent toxic signals | Ahrefs is_spam=true | dead (auth=0,0 traffic,0 kw)",
read.org.in,DISAVOW,P1 – Core (disavow),HIGH,Multi-signal spam,Multiple spam signals (dead + farm-IP / spam-flag),,performingwindows.com,https://read.org.in/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,37,37,0,yes,0.0,2,2,0,0,,40,118.139.178.200,sg,,"2+ independent toxic signals | link-network IP 118.139.178.200 (+3 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
