Referring Domain,Old Flag,Verdict,Backlinks (stated),Links Pulled,Follow,Nofollow,Unique Anchors,Top Anchor,Anchor Profile,Target Profile,Redirect Hosts,Affiliate Account IDs,Programme Banner IDs,Sponsor Path,Filler Anchors,Dead/Unreachable,Median Outlinks,Reason
creacionblog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,10,get more info,descriptive=12;commercial-cta=5;branded=1,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,12,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 12/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
creativeposts.top,Hosting Cluster - Verify Ownership,DISAVOW,6,1,0,1,1,testolabpro.com,bare-domain=1,article=1,testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
dailymusings.top,Hosting Cluster - Verify Ownership,DISAVOW,4,2,0,2,2,performancelab.com,bare-domain=2,homepage=1;product=1,nutropic.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
dailyrestora.study,No Link-Level Sample - Unverified,DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,0,72,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
dapago.net,No Link-Level Sample - Unverified,REVIEW_MANUALLY,4,4,0,4,1,Source,descriptive=4,homepage=3;article=1,,,,,4,0,85,"All 4 links are nofollow, so no equity passes; sequence as hygiene, not repair."
datadrivenpick.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,7,7,7,0,7,The Ultimate Guide to the Best Tart Cherry Supplement: Benefits and Uses | Performance Lab®,branded=7,article=7,,,,,0,0,54,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
debsllc.org,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,taking natural sleep aids,descriptive=1,product=1,,,,,0,0,1,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
decoupage-paper.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,5,5,0,5,1,Source,descriptive=5,homepage=5,,,,,5,0,91,"All 5 links are nofollow, so no equity passes; sequence as hygiene, not repair."
develop-blog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,8,website,descriptive=13;commercial-cta=4;branded=1,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,14,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 14/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
dgbloggers.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,11,11,11,0,9,website,descriptive=9;branded=2,homepage=8;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,5,0,4,Target URLs carry affiliate account 68990cbe508aa — a tracked partner in the client's own programme; that account operates 43 of these domains.
digitollblog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,9,check here,descriptive=14;commercial-cta=4,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,13,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 13/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
dlar.online,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,1,1,0,1,1,View the product,descriptive=1,product=1,,,,,0,0,3,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
domraider.eu.com,No Link-Level Sample - Unverified,DISAVOW,4,4,4,0,4,testolabpro.com,bare-domain=4,homepage=2;article=1;product=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,18503,"Bare-domain anchors on pages carrying ~18503 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
domraider.gb.net,No Link-Level Sample - Unverified,DISAVOW,4,4,4,0,4,performancelab.com,bare-domain=4,homepage=2;product=1;article=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,18003,"Bare-domain anchors on pages carrying ~18003 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
domraider.it.com,No Link-Level Sample - Unverified,DISAVOW,4,4,4,0,4,performancelab.com,bare-domain=4,homepage=2;product=1;article=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,17503,"Bare-domain anchors on pages carrying ~17503 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
drjack.world,Hosting Cluster - Verify Ownership,DISAVOW,5,1,0,1,1,performancelab.com,bare-domain=1,homepage=1,,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
drugs-forum.org,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,6,6,6,0,2,Read more,descriptive=6,article=6,testolabpro.com,,,,5,0,1,Links route through the client's own brand estate (testolabpro.com).
dryeyeandme.co.uk,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,17,17,17,0,2,"PerformanceLab, ‘ Vitamin C and Dry Eyes’, 13/01/21, Accessed June 2022",branded=17,article=17,,,,,0,0,34,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
drywearapparel.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,99,92,92,0,4,,empty=88;branded=3;raw-url=1,product=90;homepage=2,nutropic.com,68beecbc20fdb,,,0,6,9,Target URLs carry affiliate account 68beecbc20fdb — a tracked partner in the client's own programme.
dtcx.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,7,7,7,0,3,,empty=4;branded=3,homepage=5;product=2,nutropic.com,,,,0,0,0,"No single footprint dominates: anchors {'empty': 4, 'branded': 3}, targets {'homepage': 5, 'product': 2}, 7 follow / 0 nofollow."
duckduckgo.github.io,No Link-Level Sample - Unverified,REVIEW_MANUALLY,21,22,22,0,6,performancelab.com,bare-domain=18;raw-url=2;descriptive=2,homepage=18;article=4,,,,,0,0,12717,"Bare-domain anchors on pages carrying ~12717 outbound links, but the host is an open-source/reference platform where publishing a large domain list is the point. Machine listing, not a link scheme — no equity intent either way."
e360tv.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,118,143,143,0,3,https://www.performancelab.com/produc...,raw-url=143,other=143,,,,,0,0,34,"143/143 anchors are the bare target URL, replicated across a templated footprint. No exact-match commercial anchor, so low equity risk, but not editorial either."
eastphoenixau.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,12,20,0,20,5,Coffee vs Caffeine Pills - Performance Lab®,descriptive=10;branded=10,article=20,,,,,0,0,48,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
ecommercebenchmarking.com,Hosting Cluster - Verify Ownership,DISAVOW,6,5,5,0,4,nutropic.com,bare-domain=5,homepage=2;product=2;article=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10159,"Bare-domain anchors on pages carrying ~10159 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
ecomscout.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,23,35,35,0,23,Calcium # 6 Calcium $148.00,descriptive=31;branded=2;bare-domain=2,product=31;homepage=4,,,,,0,0,14,"No single footprint dominates: anchors {'descriptive': 31, 'branded': 2, 'bare-domain': 2}, targets {'product': 31, 'homepage': 4}, 35 follow / 0 nofollow."
ectobulk.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,9,9,0,9,9,https://www.performancelab.com/blogs/fitness/best-bcaa-for-fasted-cardio,raw-url=6;descriptive=3,article=9,,,,,0,0,12,"All 9 links are nofollow, so no equity passes; sequence as hygiene, not repair."
educationalimpactblog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,15,26,26,0,9,check here,descriptive=17;commercial-cta=9,homepage=23;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,17,0,2,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 17/26 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
elegantfreelancers.com,No Link-Level Sample - Unverified,DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,0,72,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
elevationtrekker.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,3,3,3,0,1,www.PerformanceLab.com,bare-domain=3,other=3,,,,,0,3,22,"No single footprint dominates: anchors {'bare-domain': 3}, targets {'other': 3}, 3 follow / 0 nofollow."
entiredomains.space,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,1,1,0,1,1,performancelab.com,bare-domain=1,homepage=1,,,,,0,0,1000,"Bare-domain anchors on pages carrying ~1000 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
entrenamientoseguro.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,11,11,11,0,8,,branded=5;empty=3;descriptive=2;bare-domain=1,homepage=8;product=3,,5a5683613276b,3ae598b8,,0,0,30,Target URLs carry affiliate account 5a5683613276b — a tracked partner in the client's own programme.
entrepreneurnut.com,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,1,1,1,0,1,Performance Lab Affiliate Program,branded=1,other=1,,,,,0,0,19,"No single footprint dominates: anchors {'branded': 1}, targets {'other': 1}, 1 follow / 0 nofollow."
eternellehealth.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Performance Lab,branded=1,article=1,,,,,0,0,9,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
eurekster.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,149,240,240,0,48,https://www.performancelab.com/blogs/multi/best-multivitamin-for-men,raw-url=115;descriptive=105;branded=16;bare-domain=4,article=214;product=26,testolabpro.com,,,,0,0,201,Links route through the client's own brand estate (testolabpro.com).
exerciserx.net,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,1,1,1,0,1,,empty=1,product=1,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 1}, targets {'product': 1}, 1 follow / 0 nofollow."
fare-blog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,9,get more info,descriptive=13;commercial-cta=4,homepage=13;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
fatburnerranked.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,0,3,3,See Pricing →,commercial-cta=2;branded=1,product=3,,alpharxaff,,,0,0,10,Target URLs carry affiliate account alpharxaff — a tracked partner in the client's own programme.
fatlotofgood.com.au,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,18,35,35,0,4,,empty=19;descriptive=10;branded=6,product=35,,66a7eb10599fa,b90c135c;cdd22384,,10,0,0,Target URLs carry affiliate account 66a7eb10599fa — a tracked partner in the client's own programme.
fi38.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,4,4,4,0,2,BUY NOW,commercial-cta=2;branded=2,product=4,,,,,0,0,31,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
fletcherrld.com,No Link-Level Sample - Unverified,DISAVOW,2,2,2,0,1,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service dtcx.com Rank First Page Google Fast SEO Link Bu,vendor-advert=2,homepage=2,dtcx.com,,,,0,0,3000,Anchor text advertises a link-selling or hacked-site service (2/2 links). The page exists to sell links; this one is the sample.
franklamsheung.com,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,1,1,1,0,1,performancelab.com,bare-domain=1,article=1,,,,,0,0,82,"No single footprint dominates: anchors {'bare-domain': 1}, targets {'article': 1}, 1 follow / 0 nofollow."
fredmehry.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,1,1,0,1,Best Joint Supplements for Athletes - Performance Lab,branded=1,article=1,,,,,0,0,28,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
french-styles.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,3,0,1,Does Magnesium Cause Frequent Urination? - Performance Lab,branded=3,article=3,,,,,0,0,11,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
fuelcell101.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,Vitamin C and Omega-3 Together: Benefits & Is It Safe ... - Performance ...,descriptive=1,article=1,,,,,0,0,145,"No single footprint dominates: anchors {'descriptive': 1}, targets {'article': 1}, 1 follow / 0 nofollow."
fuelstackr.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,9,9,9,0,7,[Affiliate Link],branded=5;descriptive=4,product=9,,67d9db49d17a5,7e3178f7;b90c135c;d26f0587,,0,5,9,Target URLs carry affiliate account 67d9db49d17a5 — a tracked partner in the client's own programme.
futurefood.website,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,1,1,1,0,1,What Is Inulin-FOS? - 4 Surprising Benefits For Your Health | Performance Lab®,branded=1,article=1,,,,,0,0,66,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
gaidot.net,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,6,2,2,0,2,Carbohydrate-Insulin Hypothesis: Why It's Wrong,descriptive=1;bare-domain=1,article=2,,,,,0,0,80,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
getbrainboost.xyz,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,3,3,3,0,3,Omega-3,descriptive=1;branded=1;raw-url=1,product=3,,,,,0,3,19,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
ggpartnersconsortium.com,No Link-Level Sample - Unverified,DISAVOW,8,7,0,7,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=7,article=7,,,,,0,0,3002,Anchor text advertises a link-selling or hacked-site service (7/7 links). The page exists to sell links; this one is the sample.
gldnroot.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Vitamins D3 and K2,descriptive=1,article=1,,,,,0,0,6,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
globalecommerce.org,No Link-Level Sample - Unverified,DISAVOW,15,15,15,0,4,nutropic.com,bare-domain=15,product=6;homepage=6;article=3,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10159,"Bare-domain anchors on pages carrying ~10159 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
goodpainrelief.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,15,15,0,15,11,https://www.performancelab.com/blogs/joint-support/can-glucosamine-cause-joint-pain,raw-url=11;descriptive=4,article=15,,,,,0,0,51,"All 15 links are nofollow, so no equity passes; sequence as hygiene, not repair."
gossiphealth.com,High Link Volume from Near-Zero Authority Domain,KEEP_AFFILIATE_RETAIN,56,67,0,67,4,Performance Lab Mind,branded=56;commercial-cta=8;descriptive=3,product=51;homepage=16,chronotherapeutics.org;supplementnatural.com,5d495a2de4c98;5f4ec409c99f6;5fad81fe89a7d,a2ad38c1;dba13121,,0,0,28,Target URLs carry affiliate account 5d495a2de4c98/5f4ec409c99f6/5fad81fe89a7d — a tracked partner in the client's own programme; that account operates 4 of these domains.
greengurunutrition.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,2,2,0,2,2,Performance Lab website,branded=1;descriptive=1,product=2,,,,,0,0,6,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
grindhousemhttn.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,5,5,0,5,1,improving your mood,descriptive=5,article=5,,,,,0,0,71,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
gymshock.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,2,2,1,1,2,Check Latest Price,commercial-cta=2,article=2,testolabpro.com,,,,0,0,14,Links route through the client's own brand estate (testolabpro.com).
hau.xyz,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,Visit Program,commercial-cta=1,homepage=1,,,,,0,0,4,"No single footprint dominates: anchors {'commercial-cta': 1}, targets {'homepage': 1}, 1 follow / 0 nofollow."
healthsupportcenter.org,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,2,2,2,0,1,,empty=2,product=2,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 2}, targets {'product': 2}, 2 follow / 0 nofollow."
healthyrex.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,https://www.prelabpro.com/blogs/nutrition/is-pre-workout-safe-to-take-while-nursing,raw-url=1,article=1,prelabpro.com,,,,0,0,19,Links route through the client's own brand estate (prelabpro.com).
herbsmedicine.net,No Link-Level Sample - Unverified,REVIEW_MANUALLY,3,2,2,0,1,https://www.performancelab.com/products/caffeine-2,raw-url=2,product=2,,,,,0,0,33,"2/2 anchors are the bare target URL, replicated across a templated footprint. No exact-match commercial anchor, so low equity risk, but not editorial either."
hitrohealth.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,6,6,6,0,1,,empty=6,product=6,,68a8c615ccbe0,,,0,0,0,Target URLs carry affiliate account 68a8c615ccbe0 — a tracked partner in the client's own programme.
hlhw.fun,"Spam-Associated TLD, Near-Zero Authority",REVIEW_MANUALLY,3,3,3,0,1,Click here...,commercial-cta=3,product=1;homepage=1;article=1,securelinksdirectory.com,,,,0,0,1,"No single footprint dominates: anchors {'commercial-cta': 3}, targets {'product': 1, 'homepage': 1}, 3 follow / 0 nofollow."
hmscicomms.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,2,2,2,0,2,,empty=1;descriptive=1,article=2,,,,,0,0,11,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
hwnerds.com,No Link-Level Sample - Unverified,DISAVOW,2,2,0,2,1,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,vendor-advert=2,homepage=1;article=1,testolabpro.com,,,,0,0,3022,Anchor text advertises a link-selling or hacked-site service (2/2 links). The page exists to sell links; this one is the sample.
hypecheck.io,No Link-Level Sample - Unverified,REVIEW_MANUALLY,7,7,0,7,7,https://performancelab.com/products/b-complex,raw-url=7,product=7,,,,,0,0,3,"All 7 links are nofollow, so no equity passes; sequence as hygiene, not repair."
hyroxy.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Pre Lab Pro is the best pre workout supplement,branded=1,product=1,,67e6995691acf,630cf529,,0,0,5,Target URLs carry affiliate account 67e6995691acf — a tracked partner in the client's own programme.
info-welt.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,0,3,3,9,descriptive=2;raw-url=1,article=3,,,,,0,0,22,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
instantelhydraulics.com,No Link-Level Sample - Unverified,DISAVOW,25,25,0,25,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=25,article=25,,,,,0,0,28726,Anchor text advertises a link-selling or hacked-site service (25/25 links). The page exists to sell links; this one is the sample.
interestingfacts.org,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,10,10,10,0,7,Click Here To Get The Lowest Price on Performance Lab Mind,branded=10,product=10,chronotherapeutics.org;supplementscoop.com,,,,0,0,24,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
internetresearchunit.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,30,47,0,47,8,View Product,descriptive=35;branded=12,product=47,,,,,0,0,12,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
ivasdesign.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,11,11,11,0,8,get more info,descriptive=10;branded=1,homepage=9;product=2,nutropic.com,68990cbe508aa,a2ad38c1,,6,0,2,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 6/11 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
iyublog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,10,15,15,0,6,website,descriptive=10;commercial-cta=5,homepage=14;product=1,nutropic.com,68990cbe508aa,a2ad38c1,,13,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 13/15 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
jake.eu,Hosting Cluster - Verify Ownership,DISAVOW,3,3,0,3,3,dtcx.com,bare-domain=3,homepage=2;article=1,dtcx.com;testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
jeffjsnider.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,When To Take Zinc: Morning Or Night,descriptive=1,article=1,testolabpro.com,,,,0,0,41,Links route through the client's own brand estate (testolabpro.com).
joyrney.com,No Link-Level Sample - Unverified,DISAVOW,5,4,0,4,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=4,article=4,,,,,0,0,28827,Anchor text advertises a link-selling or hacked-site service (4/4 links). The page exists to sell links; this one is the sample.
jsrproductions.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,2,2,2,0,1,[Source],descriptive=2,article=2,,,,,0,0,21,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
jvnps.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,Belly fat deals burner without exercise,commercial-cta=1,other=1,,,,,0,0,10,"No single footprint dominates: anchors {'commercial-cta': 1}, targets {'other': 1}, 1 follow / 0 nofollow."
kajol.pw,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,1,1,0,1,1,performancelab.com,bare-domain=1,homepage=1,,,,,0,0,1000,"Bare-domain anchors on pages carrying ~1000 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
karlsformula.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,8,8,5,3,5,Performance Lab: How Long Does Vitamin K2 Stay In The Body?,branded=6;raw-url=2,article=8,,,,,0,0,163,"No single footprint dominates: anchors {'branded': 6, 'raw-url': 2}, targets {'article': 8}, 5 follow / 3 nofollow."
kellyfriesen.ca,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,10,10,10,0,10,SHOP ALL PRODUCTS,descriptive=7;commercial-cta=2;branded=1,product=10,,,,,0,0,13,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
kingranks.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,4,4,4,0,1,performancelab,branded=4,homepage=4,,,,,0,0,3830,"No single footprint dominates: anchors {'branded': 4}, targets {'homepage': 4}, 4 follow / 0 nofollow."
kitchprep.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,"“Salt in Pre-Workout: Benefits, Risks & Dosage.”",descriptive=1,article=1,,,,,0,0,6,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
klclick2.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,,empty=1,other=1,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 1}, targets {'other': 1}, 1 follow / 0 nofollow."
kurahorizon.sbs,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,3,78,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
kurapulse.space,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,0,72,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
le-meilleur-complement.fr,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,69,24,4,20,15,Voir le site,branded=10;commercial-cta=7;descriptive=6;empty=1,homepage=19;product=5,,xnh8usm6rob7z,a2ad38c1,,2,0,11,Target URLs carry affiliate account xnh8usm6rob7z — a tracked partner in the client's own programme.
leanbulking.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,31,31,30,1,24,www.PerformanceLab.com,descriptive=11;bare-domain=8;branded=6;empty=3;commercial-cta=2;raw-url=1,product=16;other=14;article=1,testolabpro.com,5862b692b6134,a2ad38c1,,1,0,13,Target URLs carry affiliate account 5862b692b6134 — a tracked partner in the client's own programme.
lebazzar-demadous.site,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,3,2,0,2,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=2,article=2,,,,,0,0,3007,Anchor text advertises a link-selling or hacked-site service (2/2 links). The page exists to sell links; this one is the sample.
leebell.co.uk,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,4,3,3,0,3,The Dangers of Overtraining,descriptive=3,article=3,,,,,0,0,13,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
lenz.io,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,0,3,1,Performance Lab,branded=3,article=3,,,,,0,0,21,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
lifestylebycata.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,3,0,3,Performance Lab Vitamin B Complex,branded=1;empty=1;descriptive=1,product=3,,cata888,,,0,3,11,Target URLs carry affiliate account cata888 — a tracked partner in the client's own programme; that account operates 2 of these domains.
lifttilyadie.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,caffeine,descriptive=1,article=1,,,,,0,0,5,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
